brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Huyndai,Hyundai Tucson 2.0 Đặc biệt 2018,629 triệu,Năm SX 2018,Xuất xứ Trong nước,Kiểu dáng Crossover,Km đã đi 50.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 1.4 AT 2021,460 triệu,Năm SX 2021,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 4.600 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai HD 2017,1 tỉ 200 triệu,Năm SX 2017,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 68.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Accent 2021,475 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 11.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Starex 2004,98 triệu,Năm SX 2004,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 123 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Santa Fe 2020,935 triệu,Năm SX 2020,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 38.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Santa Fe 2022,1 tỉ 090 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 19.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Avante 2013,268 triệu,Năm SX 2013,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 11.986 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2018,298 triệu,Năm SX 2018,Xuất xứ Trong nước,Kiểu dáng Hatchback,Km đã đi 13.981 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2022,390 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 20.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
