brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Porsche,Porsche Panamera 2021,5 tỉ 688 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 8.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 718 cayman 2020,3 tỉ 598 triệu,Năm SX 2020,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 17.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2022,4 tỉ 899 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 10.000 km,Hộp số Số tự động,Tình trạng Xe mới,Nhiên liệu Xăng
Porsche,Porsche Cayman 2021,3 tỉ 599 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 5.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2022,3 tỉ 368 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 78.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2.0 2015,1 tỉ 550 triệu,Năm SX 2015,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 10.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne Turbo 2018,3 tỉ 750 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 16.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 4 2021,5 tỉ 350 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 16.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 4 2020,5 tỉ 450 triệu,Năm SX 2020,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 7.800 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2022,3 tỉ 369 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 78.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 2014,1 tỉ 799 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 15.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 3.0 V6 2019,4 tỉ 100 triệu,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng Coupe,Km đã đi 70.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne Turbo 2014,1 tỉ 750 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 165.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne Turbo 2010,1 tỉ 450 triệu,Năm SX 2010,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 8.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2021,4 tỉ 850 triệu,Năm SX 2021,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 10.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 2021,5 tỉ 699 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 5.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 911 Targa 4 2021,9 tỷ xxx triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 64.374 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 2017,3 tỷ 1xx ttriệu,Năm SX 2017,Xuất xứ Nhập khẩu,Kiểu dáng Coupe,Km đã đi 60.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2016,2 tỉ 250 triệu,Năm SX 2016,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 20.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2018,3 tỉ 500 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 48.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne tiêu chuẩn 2019,4 tỉ,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 40.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Panamera 2018,3 tỉ 500 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 9.999 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2021,4 tỉ 699 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 47 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche 718 cayman 2020,4 tỉ 380 triệu,Năm SX 2020,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 174.966 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Macan 2014,1 tỉ 590 triệu,Năm SX 2014,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 100.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Porsche,Porsche Cayenne 2011,1 tỉ 200 triệu,Năm SX 2011,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 1.900 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
